Confidence NN ucf 1 B-NP
in IN lc 0 B-PP
the DT lc 0 B-NP
pound NN lc 0 I-NP
is VBZ lc 0 B-VP
widely RB lc 0 I-VP
expected VBN lc 0 I-VP
to TO lc 0 I-VP
take VB lc 0 I-VP
another DT lc 0 B-NP
sharp JJ lc 0 I-NP
dive NN lc 0 I-NP
if IN lc 0 B-SBAR
trade NN lc 0 B-NP
figures NNS lc 0 I-NP
for IN lc 0 B-PP
September NNP ucf 1 B-NP
, , punc 0 O
due JJ lc 0 B-ADJP
for IN lc 0 B-PP
release NN lc 0 B-NP
tomorrow NN lc 0 B-NP
, , punc 0 O
fail VB lc 0 B-VP
to TO lc 0 I-VP
show VB lc 0 I-VP
a DT lc 0 B-NP
substantial JJ lc 0 I-NP
improvement NN lc 0 I-NP
from IN lc 0 B-PP
July NNP ucf 1 B-NP
and CC lc 0 I-NP
August NNP ucf 1 I-NP
's POS lc 0 B-NP
near-record JJ lc 0 I-NP
deficits NNS lc 0 I-NP
. . punc 0 O

Chancellor NNP ucf 1 O
of IN lc 0 B-PP
the DT lc 0 B-NP
Exchequer NNP ucf 1 I-NP
Nigel NNP ucf 1 B-NP
Lawson NNP ucf 1 I-NP
's POS lc 0 B-NP
restated VBN lc 0 I-NP
commitment NN lc 0 I-NP
to TO lc 0 B-PP
a DT lc 0 B-NP
firm NN lc 0 I-NP
monetary JJ lc 0 I-NP
policy NN lc 0 I-NP
has VBZ lc 0 B-VP
helped VBN lc 0 I-VP
to TO lc 0 I-VP
prevent VB lc 0 I-VP
a DT lc 0 B-NP
freefall NN lc 0 I-NP
in IN lc 0 B-PP
sterling NN lc 0 B-NP
over IN lc 0 B-PP
the DT lc 0 B-NP
past JJ lc 0 I-NP
week NN lc 0 I-NP
. . punc 0 O

But CC ucf 1 O
analysts NNS lc 0 B-NP
reckon VBP lc 0 B-VP
underlying VBG lc 0 B-NP
support NN lc 0 I-NP
for IN lc 0 B-PP
sterling NN lc 0 B-NP
has VBZ lc 0 B-VP
been VBN lc 0 I-VP
eroded VBN lc 0 I-VP
by IN lc 0 B-PP
the DT lc 0 B-NP
chancellor NN lc 0 I-NP
's POS lc 0 B-NP
failure NN lc 0 I-NP
to TO lc 0 B-VP
announce VB lc 0 I-VP
any DT lc 0 B-NP
new JJ lc 0 I-NP
policy NN lc 0 I-NP
measures NNS lc 0 I-NP
in IN lc 0 B-PP
his PRP$ lc 0 B-NP
Mansion NNP ucf 1 I-NP
